Inf;Player;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
;Cyriaque Irié;0;0;0;0;0.9;45;0.0;2.1;7.8;5.9;0.0;1.7;0.7;0.0;11%;42%;1.4;0;0.0;16.0;2.8;13.0;4.3;12.9;51.6;58.2;89%;3.1;7;1.2;0.2;0;1.7;1.0;518;30.4705882352941;0.3;0.3;0.3;0.0;0.4;0.0;3 (14);259;1.2;5.9;21;1.2;5.9;20;0.0;61;3.0;17;1.9;4.9;28;Denmark;3F Superliga;BFA;FC København;M (R), AM (RL);28;Unknown;€18.5K p/w
;Ken Nkuba;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0.0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;3 (14);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;BEL;FC Nordsjælland;M/AM (R);31;Unknown;€12K p/w
;Kevin Rodríguez;0;0;0;0;2.3;86;0.0;2.1;11.7;9.1;0.0;2.7;1.7;0.4;27%;33%;1.0;0;0.0;20.8;7.2;13.2;4.1;14.6;42.0;47.2;89%;1.6;1;0.2;0.2;0;1.7;1.6;463;42.0909090909091;0.4;0.8;0.4;0.0;0.1;0.0;4 (7);115.75;0.2;2.3;8;0.2;2.3;8;0.6;48;1.9;10;2.1;4.1;21;Denmark;3F Superliga;ECU;FC Nordsjælland;M/AM (R), ST (C);33;Unknown;€7.25K p/w
;Mads Bech Sørensen;0;0;0;0;0.6;90;0.5;0.5;2.3;11.4;0.2;3.9;1.0;0.8;0%;13%;0.1;0;0.0;8.3;0.0;10.5;4.9;3.0;59.5;61.9;96%;0.2;0;0.0;0.0;0;1.7;1.2;1440;90;0.0;0.0;0.0;0.0;0.0;0.0;13 (3);0;0.0;0.0;0;0.0;0.0;0;2.0;77;5.2;84;1.6;6.8;109;Denmark;3F Superliga;DEN;FC Midtjylland;D (LC);34;Unknown;€15.75K p/w
;Tammer Bany;0;0;0;1;0.5;56;0.1;0.8;3.7;3.2;0.0;1.4;0.4;0.1;17%;39%;1.1;0;0.0;12.0;0.5;11.8;1.0;8.6;27.2;30.4;90%;1.2;2;0.1;0.1;0;1.4;1.4;1504;68.3636363636364;0.4;0.5;0.4;0.0;0.1;0.0;20 (2);188;0.2;0.5;50;0.2;1.6;15;0.1;13;0.7;12;5.0;5.7;96;Denmark;3F Superliga;JOR;AGF;AM (LC), ST (C);30;Unknown;€10.25K p/w
;Justin de Haas;0;0;0;0;0.0;0;0.7;0.3;2.2;15.2;0.0;5.1;1.5;1.0;50%;100%;0.3;0;0.0;7.8;0.0;10.8;4.9;7.0;50.6;56.3;90%;0.0;0;0.0;0.0;0;1.8;1.5;603;37.6875;0.0;0.1;0.1;0.0;0.0;0.0;6 (10);603;0.0;0.0;0;0.1;1.0;14;0.9;61;5.2;35;3.3;8.5;57;Denmark;3F Superliga;NED;FC Midtjylland;D (LC);33;Unknown;€13.5K p/w
Wnt;Juma Bah;0;0;0;0;0.8;64;0.2;1.3;3.0;14.5;0.2;6.0;0.5;0.2;4%;38%;0.4;0;0.0;4.5;0.0;10.1;4.5;3.9;37.0;40.9;90%;0.3;2;0.1;0.0;0;3.1;0.8;1920;83.4782608695652;0.1;0.0;0.1;0.0;0.0;0.0;21 (2);1920;0.0;0.0;0;0.0;0.0;0;0.9;69;6.4;137;2.9;9.3;198;Denmark;3F Superliga;SLE;Sønderjyske;D (C);27;Unknown;€36.5K p/w
;Joel Mvuka;0;0;0;1;2.6;79;0.2;4.0;12.1;7.9;0.0;2.4;0.4;0.2;5%;54%;1.2;0;0.0;18.5;7.1;12.9;5.5;16.3;47.3;52.8;90%;4.3;17;0.9;0.7;0;1.9;1.7;1614;70.1739130434783;0.2;0.1;0.2;0.0;0.4;0.0;22 (1);807;2.4;9.1;26;2.5;10.3;23;0.0;23;0.6;11;2.0;2.6;47;Denmark;3F Superliga;NOR;FC København;WB (R), M/AM (RL);31;Unknown;€29K p/w
;Fabian Wohlmuth;0;0;0;2;1.5;77;0.2;1.6;5.3;14.2;0.2;4.4;1.9;0.3;0%;31%;0.3;0;0.0;21.1;0.6;13.1;11.3;11.4;70.2;79.5;88%;1.0;5;0.4;0.2;0;1.8;1.8;1171;68.8823529411765;0.0;0.0;0.0;0.0;0.2;0.0;16 (1);0;0.5;1.7;32;0.5;1.7;31;0.8;76;3.6;47;1.2;4.8;62;Denmark;3F Superliga;AUT;FC Nordsjælland;D (RL), WB/M (R);31;Unknown;€9K p/w
;Afrim Gashi;0;0;0;0;0.0;0;0.5;0.5;2.0;21.0;0.0;5.9;1.5;0.5;0%;50%;0.5;0;0.0;4.4;0.0;10.2;3.4;10.3;50.4;60.7;83%;0.5;0;0.0;0.0;0;1.5;0.0;184;61.3333333333333;0.0;0.0;0.0;0.0;0.0;0.0;2 (1);0;0.0;0.0;0;0.0;0.0;0;0.5;75;8.8;18;2.9;11.7;24;Denmark;3F Superliga;ALB;FC Midtjylland;D (RC);24;Unknown;€16.25K p/w
;Sævar Atli Magnússon;0;0;0;0;0.0;0;0.0;0.0;0.9;2.7;0.0;1.8;0.0;0.9;0%;0%;0.0;0;0.0;10.9;0.9;12.9;1.8;4.5;30.9;32.7;94%;0.9;1;0.9;0.0;0;0.9;1.8;99;14.1428571428571;0.0;0.0;0.0;0.0;0.2;0.0;0 (7);0;0.0;0.0;0;0.0;0.9;0;0.0;0;0.0;0;5.5;5.5;6;Denmark;3F Superliga;ISL;AGF;AM (RC), ST (C);33;Unknown;€5K p/w
BPR;Tareq Al-Abdallah;0;0;0;0;2.4;89;0.0;2.1;7.9;7.3;0.0;2.6;0.3;0.0;4%;38%;1.4;0;0.0;20.4;3.0;13.4;4.6;7.3;28.9;33.8;86%;2.0;4;0.6;0.3;0;4.0;0.2;591;39.4;0.3;0.2;0.3;0.0;0.3;0.0;5 (10);591;0.0;0.9;0;0.2;1.2;12;0.0;22;0.6;4;2.1;2.7;18;Denmark;3F Superliga;SYR;Sønderjyske;AM (R), ST (C);19;Unknown;€5.25K p/w
;Casper Tengstedt;0;0;0;0;0.3;60;0.1;0.1;1.1;2.2;0.0;1.1;0.1;0.1;12%;36%;1.0;0;0.0;7.2;1.3;11.4;0.3;6.4;27.9;32.8;85%;1.4;3;0.3;0.4;0;1.6;1.5;824;48.4705882352941;0.4;0.3;0.4;0.0;0.1;0.0;10 (7);274.666666666667;0.0;0.1;0;0.0;0.4;0;0.1;45;2.2;20;2.6;4.8;44;Denmark;3F Superliga;DEN;FC Nordsjælland;ST (C);33;Unknown;€5.75K p/w
;Tochi Chukwuani;0;0;0;0;1.7;70;0.2;2.0;8.1;8.3;0.1;3.0;0.7;0.4;8%;43%;1.0;0;0.0;14.8;0.7;13.0;8.5;9.8;75.7;84.7;89%;1.7;3;0.2;0.2;0;2.0;1.7;1515;72.1428571428571;0.1;0.2;0.1;0.0;0.1;0.0;20 (1);505;0.3;0.7;45;0.5;1.5;32;0.1;71;1.9;32;0.8;2.7;45;Denmark;3F Superliga;DEN;FC København;DM, M (C);30;Unknown;€21.5K p/w
Inj;Junnosuke Suzuki;0;0;0;0;0.7;78;0.4;0.7;2.6;9.8;0.1;4.2;0.9;0.5;0%;33%;0.1;0;0.0;6.9;0.0;10.6;4.1;3.5;44.4;47.5;93%;0.3;5;0.2;0.2;0;2.0;1.5;2423;89.7407407407407;0.0;0.0;0.0;0.0;0.1;0.0;27;0;0.0;0.1;50;0.0;0.1;50;0.3;63;2.8;76;1.7;4.5;121;Denmark;3F Superliga;JPN;FC København;D (RC), DM;30;Unknown;€49.5K p/w
Wnt;Lautaro Valenti;0;0;0;0;0.3;25;0.0;0.3;0.6;9.8;0.0;3.1;0.8;0.0;0%;0%;0.0;0;0.0;5.9;0.0;10.3;7.3;3.6;52.7;55.2;95%;0.0;0;0.0;0.0;0;2.0;1.7;321;53.5;0.0;0.0;0.0;0.0;0.0;0.0;4 (2);0;0.3;0.3;100;0.3;0.3;100;0.8;47;2.5;9;2.8;5.3;19;Denmark;3F Superliga;ARG;FC Nordsjælland;D (LC);34;Unknown;€10.5K p/w
;Ramiro Baeza;0;0;0;0;1.4;84;0.1;2.4;7.7;4.8;0.0;1.9;0.2;0.2;12%;43%;1.2;0;0.0;17.9;2.3;13.3;5.1;6.5;28.1;31.9;88%;3.1;20;1.1;0.4;0;2.9;0.8;1633;71;0.4;0.3;0.4;0.0;0.4;0.0;20 (3);272.166666666667;0.6;1.4;44;0.6;1.4;44;0.0;12;0.4;7;2.8;3.2;58;Denmark;3F Superliga;ARG;Sønderjyske;M/AM (R), ST (C);22;Unknown;€56K p/w
;Savo Radanović;2;0;80;1;0.0;0;0.0;0.0;0.0;7.2;0.0;0.4;1.7;0.0;0%;0%;0.0;85;-0.0;0.3;0.0;4.3;0.9;2.9;20.4;22.3;92%;0.0;0;0.0;0.0;3;1.5;1.1;1350;90;0.0;0.0;0.0;1.1;0.0;0.4;15;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;BIH;FC Midtjylland;GK;24;Unknown;€6.25K p/w
;Alexandros Kyziridis;0;0;0;0;3.2;95;0.4;2.3;9.9;7.1;0.4;2.5;1.2;0.4;13%;53%;1.4;0;0.0;24.7;2.5;14.2;4.1;15.7;29.6;34.6;86%;1.6;1;0.2;0.4;0;1.1;2.3;510;42.5;0.2;0.4;0.2;0.0;0.3;0.0;1 (11);255;1.1;3.9;27;2.6;10.6;25;0.2;25;1.2;7;3.7;4.9;28;Denmark;3F Superliga;GRE;Hvidovre IF;M (L), AM (RLC);33;Unknown;€5K p/w
;Nathan Trott;0;0;76;2;0.0;0;0.0;0.0;0.0;7.6;0.0;0.3;2.8;0.0;0%;0%;0.0;87;0.0;0.1;0.0;6.8;0.5;5.6;22.1;25.4;87%;0.0;0;0.0;0.0;4;1.8;1.4;2760;92;0.0;0.0;0.0;1.4;0.0;0.4;5 (15);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;ENG;AGF;GK;35;Unknown;€4.6K p/w
;William Mikelbrencis;0;0;0;0;3.4;82;0.2;2.4;10.6;13.6;0.4;4.1;1.1;0.4;0%;33%;0.2;0;0.0;19.2;0.9;14.1;10.6;13.6;67.8;75.5;90%;1.1;1;0.2;0.0;0;2.2;1.1;483;25.4210526315789;0.0;0.0;0.0;0.0;0.1;0.0;3 (16);0;0.9;2.8;33;1.3;7.6;17;0.0;43;1.9;10;2.4;4.3;23;Denmark;3F Superliga;FRA;FC Midtjylland;D (RL), WB (R);29;Unknown;€19.75K p/w
;Jayden Braaf;0;0;0;0;1.0;83;0.2;1.4;8.4;5.9;0.0;2.7;0.6;0.4;7%;44%;0.8;0;0.0;12.3;3.8;11.9;3.4;14.6;45.7;52.0;88%;1.4;8;0.5;0.4;0;1.1;1.9;1367;62.1363636363636;0.1;0.1;0.1;0.0;0.2;0.0;14 (8);683.5;1.2;2.1;56;2.0;6.3;32;0.1;36;1.8;27;3.2;5.0;76;Denmark;3F Superliga;SUR;FC Fredericia;AM (RL), ST (C);31;Unknown;€5K p/w
Wnt;Alexander Odefalk;0;0;0;0;0.0;0;0.0;0.0;1.7;3.3;0.0;0.8;0.0;0.0;0%;0%;0.0;0;0.0;10.7;0.8;11.9;0.8;8.3;29.7;33.0;90%;0.0;0;0.0;0.8;0;0.8;1.7;109;27.25;0.4;0.0;0.4;0.0;0.2;0.0;0 (4);0;0.0;0.0;0;3.3;6.6;50;0.0;0;0.0;0;5.8;5.8;7;Denmark;3F Superliga;SWE;FC København;M/AM (C), ST (C);24;Unknown;€28K p/w
;Markus Solbakken;0;0;0;2;1.5;67;0.4;2.0;6.1;8.9;0.1;1.8;0.7;0.7;19%;44%;0.4;0;0.0;14.1;0.4;10.9;8.7;9.4;68.5;75.0;91%;0.7;2;0.1;0.2;0;1.9;1.3;1700;77.2727272727273;0.1;0.2;0.1;0.0;0.1;0.0;0 (18);566.666666666667;0.3;0.4;71;0.5;2.2;21;0.1;42;0.4;8;0.6;1.0;19;Denmark;3F Superliga;NOR;AGF;DM, M (C);33;Unknown;€9.25K p/w
;Shalev Cohen;0;0;0;1;0.4;75;0.1;1.9;4.4;6.3;0.0;1.8;0.1;0.1;0%;0%;0.0;0;0.0;15.5;0.1;13.1;9.5;6.3;68.0;74.8;91%;1.8;0;0.0;0.0;0;2.2;1.2;615;25.625;0.0;0.0;0.0;0.0;0.0;0.0;3 (21);0;0.1;0.3;50;0.1;0.3;50;0.0;14;0.1;1;0.9;1.0;7;Denmark;3F Superliga;ISR;AGF;D (C), DM;23;Unknown;€7.25K p/w
;Sebastian Madsen;0;0;0;0;1.3;77;0.1;1.6;7.0;5.2;0.0;2.1;0.1;0.1;16%;55%;2.7;0;0.0;20.0;2.5;13.3;4.3;9.1;25.8;31.9;81%;2.7;11;1.4;0.8;0;3.8;0.7;692;32.9523809523809;0.8;0.8;0.8;0.0;0.5;0.0;6 (15);115.333333333333;0.5;1.4;36;1.2;3.4;34;0.1;48;2.6;20;2.9;5.5;42;Denmark;3F Superliga;DEN;Sønderjyske;AM (RL), ST (C);23;Unknown;€45K p/w
;Moisés Añón;0;0;0;0;2.1;70;0.3;2.1;7.9;9.4;0.0;3.0;0.0;0.3;8%;54%;2.1;0;0.0;25.1;0.0;13.3;3.6;7.9;33.2;39.3;85%;2.4;5;1.5;0.6;0;5.1;0.3;298;49.6666666666667;0.5;0.3;0.5;0.0;0.5;0.0;3 (3);298;0.0;0.3;0;0.0;0.3;0;0.0;92;3.6;12;0.3;3.9;13;Denmark;3F Superliga;ESP;Sønderjyske;M/AM (C);21;Unknown;€23K p/w
;Saná Fernandes;0;0;0;0;1.8;77;0.1;2.7;11.7;7.8;0.0;2.8;1.3;0.3;4%;52%;1.0;0;0.0;20.7;1.7;13.2;4.6;15.8;38.1;44.5;86%;1.9;9;0.7;0.5;0;0.8;1.6;1204;66.8888888888889;0.2;0.1;0.2;0.0;0.3;0.0;3 (14);1204;0.7;5.3;13;1.3;10.7;11;0.0;12;0.5;7;3.8;4.3;58;Denmark;3F Superliga;GNB;Hvidovre IF;AM (RL), ST (C);27;Unknown;€4.1K p/w
;Manuel Barba;0;0;0;0;1.4;87;0.1;2.1;7.3;6.2;0.0;1.5;0.6;0.1;10%;47%;1.5;0;0.0;18.3;2.8;13.0;3.5;7.2;25.8;30.0;86%;3.3;30;1.6;0.4;0;3.1;0.8;1739;66.8846153846154;0.4;0.3;0.4;0.0;0.5;0.0;21 (5);289.833333333333;0.8;1.6;48;0.8;2.3;36;0.0;31;0.9;17;2.0;2.8;55;Denmark;3F Superliga;ESP;Sønderjyske;D/WB (L), AM (LC), ST (C);19;Unknown;€52K p/w
Inj;Munashe Garananga;0;0;0;1;0.4;100;0.4;0.9;3.2;12.3;0.1;4.3;0.7;0.6;13%;75%;0.3;0;0.0;7.4;0.0;10.3;3.9;3.8;54.4;58.1;94%;0.0;0;0.0;0.0;0;1.7;1.1;1620;90;0.0;0.1;0.0;0.0;0.0;0.0;5 (10);1620;0.0;0.0;0;0.0;0.0;0;0.8;76;4.8;87;1.5;6.3;114;Denmark;3F Superliga;ZIM;FC Midtjylland;D (RC);32;Unknown;€16K p/w
;Aksel Høyrup Johanesson;0;0;0;0;0.6;100;0.0;1.2;6.2;4.2;0.0;2.4;0.3;0.0;15%;60%;1.2;0;0.0;13.0;0.7;13.7;3.3;8.2;56.7;62.6;91%;2.7;6;0.6;0.2;0;1.6;1.1;869;62.0714285714286;0.4;0.3;0.4;0.0;0.3;0.0;10 (4);289.666666666667;0.4;1.1;36;0.4;1.1;36;0.0;55;1.9;18;1.6;3.4;33;Denmark;3F Superliga;DEN;FC Midtjylland;AM (C), ST (C);20;Unknown;€13.75K p/w
