Inf;Player;Best Pos;Asking Price;Tck A;Off;KP/90;Shot/90;Unique ID;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
Int;Darnell Keumo;WB (L);€4.2M;100;6;1.0;0.3;2000259392;0;0;0;0;2.3;72;0.4;2.3;7.8;9.1;0.2;3.2;1.1;0.7;11%;22%;0.1;0;0.0;15.4;0.9;11.1;6.9;14.8;53.2;60.4;88%;1.0;2;0.1;0.1;0;0.7;1.6;2867;89.59375;0.0;0.0;0.0;0.0;0.0;0.0;15 (22);2867;0.3;0.9;36;0.3;0.9;35;0.2;39;0.9;30;1.5;2.4;77;France;Ligue 1 McDonald's;CMR;SM Caen;D/WB (L);26;Unknown;€29.5K p/w
Int;Luke Brooke-Smith;AM (L);€25.5M;67;9;1.9;1.7;2000383550;0;0;0;0;1.5;81;0.0;2.5;9.5;3.2;0.0;2.3;0.4;0.1;10%;28%;0.5;0;0.0;16.2;3.0;12.2;4.0;21.4;41.5;46.8;89%;1.9;4;0.1;0.0;0;0.7;1.5;3202;80.05;0.2;0.2;0.2;0.0;0.0;0.0;37 (3);533.666666666667;1.2;3.2;36;1.2;3.2;35;0.2;36;1.4;50;2.5;3.9;138;England;Premier League;NZL;Southampton;M (RL), AM (RLC);26;Unknown;€49.5K p/w
Wnt;Wassim Slama;M (C);€0;9;1;0.7;0.9;2000487229;0;0;0;0;0.3;67;0.0;0.3;1.2;12.1;0.0;0.5;0.2;0.2;0%;30%;0.3;0;0.0;2.7;0.0;2.8;1.5;13.1;13.7;14.6;93%;0.4;5;0.2;0.2;0;1.3;1.4;1949;74.9615384615385;0.1;0.0;0.1;0.0;0.2;0.0;24 (2);0;0.0;0.1;0;0.0;0.1;0;0.0;14;0.0;1;0.3;0.3;7;Portugal;Premier League;TUN;Famalicão;DM, M (C), AM (LC);25;Unknown;€14.75K p/w
Int;Lee Yoon-Koo;DM, M (C);€1.4M;9;0;0.2;0.2;2000529027;0;0;0;0;0.5;67;0.0;0.6;1.5;9.7;0.0;0.7;0.1;0.2;0%;0%;0.0;0;0.0;4.6;0.0;4.4;2.6;11.1;20.0;21.0;95%;0.2;2;0.2;0.0;0;0.7;1.1;1112;32.7058823529412;0.0;0.0;0.0;0.0;0.1;0.0;9 (25);0;0.0;0.0;0;0.0;0.0;0;0.0;40;0.2;2;0.2;0.4;5;Italy;Serie A;KOR;U.S. Lecce;DM, M/AM (C);23;Unknown;€31K p/w
Wnt;Adam Palmer;DM, M (C);€28M;20;0;1.0;0.7;2002166041;0;0;0;0;0.8;50;0.2;1.4;5.8;9.2;0.2;2.3;1.2;0.9;33%;44%;0.3;0;0.0;13.1;0.2;12.0;4.9;7.0;58.2;63.6;92%;1.0;8;0.6;0.1;0;1.6;1.2;1151;41.1071428571429;0.0;0.2;0.0;0.0;0.2;0.0;12 (16);383.666666666667;0.1;0.2;50;0.1;0.2;50;0.1;18;0.2;3;1.1;1.3;17;England;Premier League;WAL;Bournemouth;DM, M/AM (C);23;Unknown;€85K p/w
Wnt;Kledi Qosja;D (R);€1.9M;50;1;0.9;0.3;2000518651;0;0;0;0;1.4;70;0.4;1.9;7.2;9.1;0.1;3.2;1.1;0.5;0%;13%;0.0;0;0.0;13.1;1.0;11.5;7.7;16.3;50.4;54.6;92%;0.9;2;0.1;0.0;0;0.8;1.4;2197;81.3703703703704;0.0;0.0;0.0;0.0;0.0;0.0;25 (2);0;0.3;1.7;20;0.3;1.7;19;0.4;57;2.7;65;2.0;4.7;115;Spain;First Division;ALB;Leganés;D/M (R);24;Unknown;€21.5K p/w
nEU;Rodrigo Villanueva;D (L);€4.4M;89;2;1.0;0.2;2000300662;0;0;0;0;2.2;84;0.5;2.1;7.1;10.4;0.1;3.4;0.8;0.4;13%;25%;0.1;0;0.0;16.5;0.8;11.6;7.1;16.6;55.6;61.2;91%;1.0;1;0.0;0.0;0;1.0;1.6;3115;86.5277777777778;0.0;0.0;0.0;0.0;0.0;0.0;27 (1);3115;0.3;1.3;20;0.3;1.3;20;0.2;47;1.0;35;1.1;2.1;74;Italy;Serie A;PER;Hellas Verona;D/AM (L);25;Unknown;€35.5K p/w
Int;Ousseynou Seck;AM (C);€5M;1;0;1.0;1.3;2000456351;0;0;0;0;0.0;0;0.0;0.1;0.6;8.1;0.0;0.3;0.1;0.0;12%;32%;0.4;0;0.0;1.0;0.0;0.5;0.2;17.2;1.5;1.7;89%;0.1;17;0.6;0.1;0;0.7;1.4;2375;81.8965517241379;0.1;0.2;0.1;0.0;0.2;0.0;27 (2);593.75;0.0;0.1;50;0.4;2.9;12;0.0;100;0.1;2;0.0;0.1;2;Portugal;Premier League;SEN;Gil Vicente;M/AM (C), ST (C);26;Unknown;€18.25K p/w
Int;Sander Elias Fjelldalselv;D (C);€12.75M;12;0;0.1;0.7;2000369254;0;0;0;0;0.7;92;0.8;0.8;3.7;12.2;0.0;2.6;0.7;0.6;0%;10%;0.1;0;0.0;5.1;0.2;9.8;2.2;5.0;44.7;47.4;94%;0.1;2;0.1;0.1;0;0.8;1.7;1380;92;0.0;0.0;0.0;0.0;0.0;0.0;9 (23);0;0.1;0.1;100;0.1;0.1;100;0.8;69;3.4;52;1.5;4.9;75;England;Premier League;NOR;Southampton;D (LC);27;Unknown;€63K p/w
Int;Jonah Kusi-Asare;ST (C);€12M;9;15;0.9;3.9;2000251820;0;0;0;0;0.3;89;0.0;0.6;1.8;1.7;0.0;0.5;0.2;0.2;12%;44%;1.7;0;0.0;5.9;0.5;10.6;0.8;18.1;23.8;27.2;87%;0.9;4;0.2;0.0;0;1.0;1.1;2144;76.5714285714286;0.5;0.5;0.5;0.0;0.1;0.0;27 (1);194.909090909091;0.1;0.3;38;0.1;0.3;37;0.1;43;3.3;79;4.3;7.6;182;Germany;Bundesliga;SWE;Borussia M'gladbach;AM (R), ST (C);26;Unknown;€69K p/w
;Rory Finneran;DM, M (C);€7.5M;13;0;0.3;0.5;2000271404;0;0;0;0;0.2;54;0.0;0.2;0.8;11.5;0.0;0.3;0.0;0.1;11%;32%;0.2;0;0.0;0.9;0.0;0.9;0.7;13.7;4.8;5.6;87%;0.3;9;0.3;0.2;0;1.4;1.2;3158;85.3513513513514;0.1;0.1;0.1;0.0;0.1;0.0;12 (7);1579;0.0;0.0;0;0.0;0.1;0;0.0;33;0.0;1;0.1;0.1;3;Spain;First Division;IRL;S. Gijón;D (C), DM, M (C);26;Unknown;€34K p/w
Wnt;Charlie Crew;DM;€140K;54;0;2.3;0.6;2000226061;0;0;0;1;1.1;61;0.2;1.5;5.2;11.8;0.1;2.9;1.0;0.7;6%;35%;0.2;0;0.0;12.3;0.0;11.9;7.0;6.4;52.7;57.4;92%;1.2;12;0.4;0.1;0;0.6;1.9;2599;76.4411764705882;0.1;0.0;0.1;0.0;0.2;0.0;33 (1);2599;0.0;0.1;25;0.5;5.8;8;0.1;18;0.3;9;1.4;1.7;49;France;Ligue 1 McDonald's;WAL;FC Annecy;DM, M (C);28;Unknown;€8.25K p/w
Inj;Valmir Çela;D/WB (R);€25.5M;42;1;0.7;0.6;2002312445;0;0;0;0;1.3;67;0.6;1.6;7.5;10.2;0.0;4.1;1.2;0.7;17%;25%;0.1;0;0.0;13.5;1.2;10.9;7.4;14.3;54.2;59.8;91%;0.7;2;0.1;0.0;0;1.9;0.8;1892;63.0666666666667;0.1;0.1;0.1;0.0;0.0;0.0;20 (10);946;0.3;0.7;43;0.3;0.7;40;0.1;35;1.0;22;1.9;2.9;62;Italy;Serie A;MKD;Bergamo;D/WB (R);21;Unknown;€13.75K p/w
;Toni Majić;AM (L);€13M;3;9;0.4;1.9;2000213981;0;0;0;0;0.1;100;0.0;2.8;0.8;5.0;0.0;2.6;0.7;0.2;7%;43%;0.8;0;0.0;1.5;3.6;11.9;0.8;16.6;5.6;6.1;91%;0.4;8;0.3;0.3;0;1.6;1.2;2608;81.5;0.2;0.1;0.2;0.0;0.2;0.0;32;652;2.4;2.5;97;2.4;2.5;97;0.0;40;1.7;48;2.5;4.2;121;France;Ligue 1 McDonald's;CRO;Toulouse FC;M/AM (L), ST (C);28;Unknown;€52K p/w
;Jill Stiel;M (C);€16.5M;0;0;0.1;1.1;2000310097;0;0;0;0;0.0;0;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;13%;38%;0.4;0;0.0;0.0;0.0;0.0;0.0;9.9;0.0;0.0;0%;0.1;13;0.4;0.1;0;0.8;1.5;3148;87.4444444444444;0.1;0.1;0.1;0.0;0.1;0.0;18 (15);629.6;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Germany;Bundesliga;SUI;FC St. Pauli;DM, M (C);26;Unknown;€33K p/w
;Viktor Bro;D (C), DM, M (C);€34.5M;9;0;0.6;0.2;2002295513;0;0;0;0;0.6;100;0.4;0.5;2.1;12.2;0.0;1.4;0.6;0.4;0%;33%;0.1;0;0.0;5.1;0.1;6.8;2.8;6.3;31.5;35.4;89%;0.6;0;0.0;0.1;0;1.4;1.1;1264;45.1428571428571;0.0;0.0;0.0;0.0;0.0;0.0;9 (19);0;0.0;0.0;0;0.0;0.0;0;0.1;62;1.3;18;0.8;2.1;29;Germany;Bundesliga;DEN;VfB Stuttgart;D (C), DM, M (C);22;Unknown;€87K p/w
;Jakub Żewłakow;AM (C);€4M;34;11;2.2;1.6;2000190092;0;0;0;0;0.6;59;0.0;1.3;5.7;9.0;0.1;1.2;0.3;0.1;3%;26%;0.4;0;0.0;10.1;1.4;12.1;2.7;17.3;38.6;42.9;90%;2.0;14;0.4;0.1;0;0.9;1.5;3209;84.4473684210526;0.2;0.1;0.2;0.0;0.2;0.0;38;1604.5;0.1;0.9;13;0.1;1.1;12;0.1;25;1.1;38;3.1;4.2;150;Italy;Serie A;POL;Palermo;M (C), AM (LC), ST (C);27;Unknown;€14.25K p/w
Int;Aleksa Filipović;DM, AM (C);€17.75M;15;0;0.5;0.8;2002336888;0;0;0;0;0.6;80;0.1;0.8;3.6;7.7;0.0;1.2;0.0;0.2;12%;29%;0.2;0;0.0;6.1;0.2;5.2;1.7;14.8;23.4;25.5;92%;0.5;8;0.4;0.2;0;2.0;0.9;1823;53.6176470588235;0.1;0.1;0.1;0.0;0.2;0.0;21 (13);911.5;0.1;0.4;33;0.1;0.4;33;0.0;33;0.1;2;0.2;0.3;6;Italy;Serie A;SRB;Blu-neri;DM, M/AM (C);21;Unknown;€19.25K p/w
Wnt;Milan Roganović;D (R);€15.75M;70;1;0.7;0.5;2000300668;0;0;0;0;1.8;81;0.7;1.7;7.0;12.1;0.1;3.3;0.8;0.7;18%;29%;0.2;0;0.0;15.1;0.7;11.7;7.9;14.5;55.6;60.9;91%;0.7;2;0.1;0.0;0;1.2;1.2;2804;87.625;0.0;0.1;0.0;0.0;0.0;0.0;32;934.666666666667;0.1;0.5;18;0.1;0.5;17;0.3;51;1.7;53;1.6;3.3;103;Germany;Bundesliga;MNE;1. FC Union Berlin;D/WB (R), DM;28;Unknown;€46K p/w
;Rafael González;GK;€2M;3;0;0.0;0.0;2000141401;3;0;75;0;0.0;0;0.0;0.0;0.0;3.5;0.0;0.0;1.2;0.0;0%;0%;0.0;89;0.2;0.0;0.0;5.1;0.0;6.0;19.0;22.9;83%;0.0;0;0.0;0.0;3;1.3;1.2;2921;88.5151515151515;0.0;0.0;0.0;1.2;0.0;0.3;37 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Germany;Bundesliga;VEN;1. FC Köln;GK;24;Unknown;€53K p/w
;Aleksandar Smajic;WB (R);€1.2M;48;2;2.7;0.1;2002213549;0;0;0;0;3.0;96;0.2;2.9;9.3;6.6;0.1;2.5;1.4;0.3;0%;50%;0.1;0;0.0;24.3;2.9;12.5;5.7;26.5;42.8;47.6;90%;2.7;1;0.1;0.1;0;1.7;1.2;1401;87.5625;0.0;0.0;0.0;0.0;0.1;0.0;32 (1);0;0.8;6.3;13;0.8;6.3;13;0.4;40;1.0;16;1.5;2.6;40;Germany;Bundesliga;CAN;RB Leipzig;D/WB (R);24;Unknown;€15K p/w
Wnt;Kevin Daci;AM (RC);€15M;28;4;2.1;1.9;2002231181;0;0;0;0;1.2;71;0.1;2.2;8.7;7.2;0.0;2.2;0.6;0.2;6%;21%;0.4;0;0.0;17.8;3.7;13.2;4.6;15.6;46.4;52.1;89%;2.1;7;0.4;0.2;0;1.5;1.4;1531;35.6046511627907;0.2;0.1;0.2;0.0;0.2;0.0;7 (36);765.5;0.5;2.6;18;0.5;2.6;18;0.1;16;0.5;8;2.5;3.0;51;Portugal;Premier League;ALB;BRG;M (C), AM (RC);23;Unknown;€22K p/w
Wnt;Jaydee Canvot;D (C);€35.5M;44;1;0.4;0.5;2000187623;0;0;0;0;1.0;75;0.3;1.2;4.1;12.8;0.1;2.5;0.9;0.6;0%;6%;0.0;0;0.0;8.1;0.0;10.9;3.4;5.7;48.6;53.2;91%;0.4;4;0.1;0.2;0;0.9;1.1;3053;80.3421052631579;0.1;0.0;0.1;0.0;0.1;0.0;34 (4);0;0.1;0.1;40;0.1;0.1;40;0.6;52;2.2;75;2.0;4.2;144;England;Premier League;FRA;Crystal Palace;D (RC), DM;27;Unknown;€80K p/w
Int;Gabriel Luţă;ST (C);€12.5M;12;13;1.5;2.0;2000371052;0;0;0;0;0.2;50;0.0;0.7;1.9;2.1;0.0;0.7;0.2;0.0;18%;55%;1.1;0;0.0;7.9;0.8;10.3;0.7;17.3;27.7;31.7;87%;0.9;5;0.2;0.2;0;1.0;1.3;2493;89.0357142857143;0.3;0.4;0.3;0.0;0.1;0.0;28;249.3;0.2;0.3;67;0.2;0.3;66;0.1;19;1.3;37;5.6;6.9;191;Portugal;Premier League;ROU;Casa Pia;AM (LC), ST (C);23;Unknown;€29K p/w
;Ayobami Kabiru;D (C);€12.5M;32;0;0.1;0.1;2000108861;0;0;0;0;0.7;72;1.3;1.1;3.1;12.1;0.1;2.2;1.0;0.6;20%;40%;0.1;0;0.0;3.1;0.0;9.7;2.1;5.1;41.6;46.8;89%;0.1;1;0.0;0.0;0;1.1;1.4;3150;90;0.0;0.0;0.0;0.0;0.0;0.0;32 (5);3150;0.0;0.1;0;0.0;0.1;0;1.3;76;4.5;158;1.4;5.9;207;Germany;Bundesliga;NGA;Hertha BSC;D (RC), DM;23;Unknown;€48K p/w
;Bogdan Mirčetić;AM (RC);€3.9M;16;2;2.3;1.2;2000160859;0;0;0;0;0.7;75;0.0;1.2;10.2;6.0;0.0;1.5;0.3;0.2;9%;27%;0.3;0;0.0;9.0;1.6;8.7;3.8;15.9;28.2;32.8;86%;1.2;8;0.4;0.2;0;1.3;1.5;1638;71.2173913043478;0.1;0.1;0.1;0.0;0.2;0.0;21 (2);819;0.5;2.0;24;0.5;2.2;22;0.0;49;0.9;17;1.0;1.9;35;France;Ligue 1 McDonald's;SRB;Brest;M/AM (RC);28;Unknown;€21K p/w
;Milen Sinabov;ST (C);€5.25M;13;16;1.2;2.3;2000396869;0;0;0;0;0.4;77;0.0;0.8;1.7;1.4;0.0;0.4;0.1;0.1;8%;40%;0.9;0;0.0;5.6;0.6;10.2;1.0;19.9;21.7;24.5;89%;1.2;3;0.1;0.1;0;1.0;1.4;2548;65.3333333333333;0.2;0.2;0.2;0.0;0.0;0.0;36 (3);509.6;0.1;0.5;31;0.1;0.9;15;0.1;35;3.1;88;5.9;9.0;254;Italy;Serie A;BUL;U.S. Lecce;ST (C);24;Unknown;€48.5K p/w
;Prince Amoako;AM (L);€12.5M;23;7;0.9;1.5;2000441701;0;0;0;0;1.0;96;0.0;1.3;5.3;4.0;0.0;0.9;0.8;0.0;9%;33%;0.5;0;0.0;13.4;1.6;11.3;2.0;21.2;23.7;26.3;90%;0.9;10;0.5;0.0;0;1.2;1.9;1997;55.4722222222222;0.2;0.1;0.2;0.0;0.1;0.0;31 (5);665.666666666667;0.4;1.6;25;0.4;1.6;25;0.1;29;1.1;25;2.8;3.9;87;England;Premier League;GHA;West Ham;M (L), AM (RL);27;Unknown;€88K p/w
Wnt;Tobias Slotsager;D (C);€10.25M;38;1;0.2;0.7;2000178532;0;0;0;1;1.1;97;1.2;1.2;3.6;15.3;0.2;3.2;0.8;0.5;0%;0%;0.0;0;0.0;4.7;0.1;10.1;3.2;3.2;42.6;45.6;94%;0.2;1;0.0;0.1;0;1.0;1.7;3108;88.8;0.1;0.0;0.1;0.0;0.1;0.0;14 (12);0;0.0;0.1;0;0.0;0.1;0;1.0;73;3.9;134;1.4;5.3;184;Italy;Serie A;DEN;Hellas Verona;D (RC);28;Unknown;€44K p/w
;Lewis Miley;M (C);€12.25M;58;1;0.8;0.4;2000189871;0;0;0;0;1.4;78;0.5;1.7;6.3;13.7;0.1;2.7;0.8;0.6;0%;25%;0.1;0;0.0;12.6;0.5;9.8;7.2;11.7;52.5;58.4;90%;0.8;4;0.1;0.1;0;1.4;1.1;2832;78.6666666666667;0.0;0.0;0.0;0.0;0.1;0.0;7 (20);0;0.2;0.9;18;0.2;1.2;13;0.3;63;2.0;63;1.2;3.2;100;Spain;First Division;ENG;Valencia;D (R), DM, M/AM (C);28;Unknown;€75K p/w
Int;Wilmer Soto;D (C);€5M;10;0;0.1;0.1;2002088374;0;0;0;0;0.7;100;0.8;1.2;3.0;15.1;0.1;2.5;1.0;0.5;0%;0%;0.0;0;0.0;3.3;0.1;9.5;2.0;2.9;37.0;40.0;92%;0.1;3;0.2;0.1;0;1.9;1.0;1320;62.8571428571429;0.0;0.0;0.0;0.0;0.0;0.0;12 (9);0;0.0;0.0;0;0.0;0.0;0;1.2;70;3.9;57;1.6;5.5;81;Germany;Bundesliga;ECU;Sport-Club Freiburg;D (C), DM;24;Unknown;€15.75K p/w
Wnt;Itay Azulay;DM;€1.7M;43;1;0.5;0.2;2000396044;0;0;0;0;1.6;88;0.6;1.7;5.7;9.8;0.0;2.6;0.6;0.6;0%;0%;0.0;0;0.0;10.9;0.2;11.2;3.4;8.1;47.1;50.6;93%;0.5;6;0.3;0.1;0;0.8;1.4;2123;60.6571428571429;0.0;0.0;0.0;0.0;0.1;0.0;21 (14);0;0.0;0.2;0;0.0;0.2;0;0.5;56;1.9;44;1.4;3.3;78;Spain;First Division;ISR;Leganés;DM, M (C);23;Unknown;€25.5K p/w
;Semih Kılıçsoy;ST (C);€5.75M;7;6;1.0;4.5;2000154217;0;0;0;0;0.4;86;0.0;0.7;2.2;1.0;0.0;0.6;0.0;0.0;12%;53%;2.4;0;0.0;5.5;0.8;10.5;1.1;19.2;26.3;29.0;91%;1.0;4;0.2;0.1;0;1.6;0.9;1461;44.2727272727273;0.4;0.6;0.4;0.0;0.1;0.0;11 (22);162.333333333333;0.1;0.4;14;0.1;0.4;14;0.1;17;0.9;14;4.2;5.1;82;Spain;First Division;TUR;S. Gijón;AM (RL), ST (C);28;Unknown;€38K p/w
Int;Narcis Ilaş;D (R);€3.5M;62;6;0.7;0.1;2000282463;0;0;0;0;2.3;92;0.8;2.3;7.6;10.3;0.0;3.4;0.8;0.4;67%;67%;0.1;0;0.0;16.1;1.1;11.7;7.6;16.8;45.2;52.7;86%;0.7;3;0.1;0.0;0;1.3;1.5;2278;73.4838709677419;0.0;0.1;0.0;0.0;0.1;0.0;13 (7);1139;0.4;2.1;21;0.4;2.1;20;0.2;43;1.9;48;2.5;4.4;112;Germany;Bundesliga;ROU;Hertha BSC;D (RL), WB (R), DM;27;Unknown;€51K p/w
;Marian Valenta;DM;€4.3M;19;1;0.4;0.4;2002228795;0;0;0;0;0.8;68;0.6;1.3;5.0;14.8;0.1;2.1;0.6;0.2;0%;29%;0.1;0;0.0;12.1;0.1;11.5;4.2;4.9;49.8;54.1;92%;0.4;6;0.4;0.2;0;1.0;0.9;1468;47.3548387096774;0.1;0.0;0.1;0.0;0.1;0.0;12 (19);0;0.1;0.1;100;0.1;0.1;100;0.2;48;0.7;11;0.7;1.4;23;Italy;Serie A;SVK;Bologna;D (C), DM, M (C);23;Unknown;€8K p/w
